"id","empregadoId","rubricaId","folhaId","valor"
"1","53","1","1","1800.00"
"2","54","1","1","12200.00"
"3","55","1","1","2500.00"
"4","56","1","1","1200.00"
"5","57","1","1","2500.00"
"6","58","1","1","1200.00"
"7","59","1","1","1800.00"
"8","60","1","1","1200.00"
"9","61","1","1","1200.00"
"10","62","1","1","1200.00"
"11","63","1","1","1200.00"
"12","64","1","1","1200.00"
"13","65","1","1","1200.00"
"14","66","1","1","1200.00"
"15","67","1","1","1200.00"
"16","68","1","1","1200.00"
"17","69","1","1","2500.00"
"18","70","1","1","1200.00"
"19","71","1","1","7400.00"
"20","72","1","1","1200.00"
"21","73","1","1","1200.00"
"22","74","1","1","1200.00"
"23","75","1","1","2500.00"
"24","76","1","1","1200.00"
"25","77","1","1","2000.00"
"26","78","1","1","1200.00"
"27","79","1","1","1300.00"
"28","80","1","1","1200.00"
"29","81","1","1","2500.00"
"30","82","1","1","1200.00"
"31","83","1","1","1200.00"
"32","84","1","1","1200.00"
"33","85","1","1","2500.00"
"34","86","1","1","3700.00"
"35","87","1","1","3700.00"
"36","88","1","1","1200.00"
"37","89","1","1","1700.00"
"38","90","1","1","1200.00"
"39","91","1","1","1200.00"
"40","92","1","1","7400.00"
"41","93","1","1","1800.00"
"42","94","1","1","1200.00"
"43","95","1","1","12200.00"
"44","96","1","1","1200.00"
"45","97","1","1","2500.00"
"46","98","1","1","1200.00"
"47","99","1","1","1700.00"
"48","100","1","1","1200.00"
"49","101","1","1","1200.00"
"50","102","1","1","1200.00"
"51","103","1","1","1200.00"
"52","104","1","1","1200.00"
"53","105","1","1","1800.00"
"54","106","1","1","12200.00"
"55","107","1","1","1300.00"
"56","108","1","1","1200.00"
"57","109","1","1","1200.00"
"58","110","1","1","1200.00"
"59","111","1","1","1200.00"
"60","112","1","1","1200.00"
"61","113","1","1","1300.00"
"62","114","1","1","1200.00"
"63","115","1","1","2000.00"
"64","116","1","1","1200.00"
"65","117","1","1","1200.00"
"66","118","1","1","1200.00"
"67","119","1","1","1200.00"
"68","120","1","1","7400.00"
"69","121","1","1","1200.00"
"70","122","1","1","1200.00"
"71","123","1","1","2500.00"
"72","124","1","1","12200.00"
"73","125","1","1","1200.00"
"74","126","1","1","1200.00"
"75","127","1","1","1300.00"
"76","128","1","1","1200.00"
"77","129","1","1","1200.00"
"78","130","1","1","3700.00"
"79","131","1","1","1200.00"
"80","132","1","1","1200.00"
"81","133","1","1","1200.00"
"82","134","1","1","12200.00"
"83","135","1","1","2500.00"
"84","136","1","1","1200.00"
"85","137","1","1","1200.00"
"86","138","1","1","1200.00"
"87","139","1","1","1300.00"
"88","140","1","1","1200.00"
"89","141","1","1","2000.00"
"90","142","1","1","1200.00"
"91","143","1","1","6100.00"
"92","144","1","1","1200.00"
"93","145","1","1","2500.00"
"94","146","1","1","1200.00"
"95","147","1","1","3700.00"
"96","148","1","1","1200.00"
"97","149","1","1","1200.00"
"98","150","1","1","1200.00"
"99","151","1","1","1300.00"
"100","152","1","1","1200.00"
